@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-R4-5,7-8-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.1,404,8,45.9,76,38.8,4.4,106.2,48.7,False
0.3,747,13.9,76.4,45,53.4,5.4,130.8,73.9,False
0.25,520,10.2,82.7,27,45.1,5.9,142.2,70.9,False
0.08,283,9.9,57.4,62,44.3,2.7,64.1,57.5,False
0.15,371,7.4,65.4,34,36.6,4.6,109.7,63.1,False
0.03,138,11.8,56,77,48.9,2.9,68.6,55.9,False
0.29,743,14,82.7,37,53.5,3.7,89.9,71.9,False
0.24,570,13.1,71,51,51.8,8.6,205.8,72.7,False
0.12,431,9.3,52,70,42.5,3.4,81.2,53.3,False
0.11,323,9.7,59,57,43.8,3.5,83.6,58,False
0.14,473,8.1,49.7,67,39.1,6.1,147.5,53.7,False
0.14,379,2.7,56.8,17,12.8,5.3,126.3,59.3,False
0.2,491,9.4,67.2,41,42.9,4.6,109.3,59.1,False
0.26,723,16.9,71.2,65,58.7,5,119.1,73.9,False
0.2,509,11.2,66.5,50,47.4,5.3,126.8,60.1,False
0.06,170,6.2,50.3,50,32.4,3.2,76.9,48.8,False
0.17,459,10.8,64.6,52,46.6,3.8,90.8,61.5,False
0.21,542,10.6,63.1,53,46,6,143.2,61.1,False
0.2,524,10.8,63.8,54,46.7,5.8,138,61.8,False
0.21,551,8.4,62.9,43,40.1,4.6,111.6,61.4,False
0.18,459,8.3,62.6,43,39.6,4.6,110.3,61.8,False
0.19,572,11,58.6,65,47.1,6.2,148.5,61,False
0.18,532,12.4,64.1,61,50.3,3.7,90,62.7,False
0.11,311,13,63.2,66,51.5,6.6,158.4,63.6,False
0.26,705,16.1,72.2,60,57.4,5.3,128.2,73.6,False
0.29,751,16.5,77.5,51,58.1,4.1,98.6,74.5,False
0.2,589,10.9,63.2,55,46.7,4.4,105,62.3,False
0.23,569,8.9,58.7,52,41.4,8.6,206,62.1,False
0.15,538,8.7,50.3,70,40.8,4.1,99,57.8,False
0.16,417,6.5,61.6,35,33.5,4.3,103.5,62.5,False
0.27,674,14.4,74.4,49,54.3,5.9,140.5,72.7,False
0.24,627,9.5,64.5,46,43.1,6.4,154.4,60.6,False
0.28,601,13.4,79.7,39,52.3,5.7,136,75.2,False
0.23,614,12.8,68,55,51.1,4.9,118.7,64,False
0.25,623,11.5,70.1,46,48.1,5.3,127.4,65.2,False
0.24,629,11.3,65.9,52,47.8,5,121.1,65.4,False
0.24,625,10.7,64.7,51,46.4,5.5,131,64.9,False
0.23,631,9.5,62,50,43.2,5.8,138.9,65.2,False
0.2,573,9.9,59.8,57,44.4,6.8,164,64.4,False
0.14,420,9.7,57.3,60,43.6,6,145.2,62.6,False
0.28,719,14.6,75.3,49,54.8,5,119.8,74.4,False
0.17,358,3.3,55.2,22,17,7.6,181.2,57.5,False
0.24,622,9.6,62.8,49,43.3,7.3,174.3,64.3,False
0.24,670,10.5,62.7,54,45.8,5.2,123.7,64.9,False
0.23,672,11.1,63,56,47.3,4.8,115.5,65.3,False
0.24,650,11.7,66.8,52,48.8,4.4,104.5,66.4,False
0.2,467,10.8,66.6,48,46.5,5.8,138.2,66.6,False
0.27,680,11.6,69.4,47,48.5,5.5,132.5,72.9,False
0.07,261,8.8,51.6,68,41.3,3.1,75.1,56,False
0.26,657,15.6,74.4,54,56.5,5.1,122.9,76,False
0.28,715,11,67.8,47,47.1,7.8,187.1,69.1,False
0.26,687,11.6,67.9,50,48.4,6,144.4,69.2,False
0.28,633,15.4,77.7,48,56.2,5.7,136.2,74.2,False
0.32,715,8.5,70.7,33,40.2,8.7,208.5,68.6,False
0.25,715,11.8,62.6,61,49,6.8,164,68.4,False
0.24,665,15.3,70,61,56,5.3,127.4,74.6,False
0.25,723,10.9,61.9,58,46.8,8.1,193.7,68.4,False
0.23,659,10.2,61.9,54,45.1,6.5,156.7,68.3,False
0.25,717,11.9,64.3,58,49.2,5.4,128.7,69,False
0.24,719,13.1,65.6,61,51.7,4.5,108.9,70.2,False
0.26,736,11.2,62.9,57,47.5,7,168.4,69.8,False
0.22,678,11,60,62,47,6.6,158.5,68.8,False
0.25,717,12.2,65,58,49.8,4.6,111.1,69.4,False
0.09,285,8.1,60.5,45,39,2.5,60.2,58.5,False
0.23,718,12.3,61.1,67,49.9,5.9,141.6,69.7,False
0.12,358,2.9,53.6,21,14.3,3.9,94.1,57,False
0.1,309,11.6,59.8,66,48.5,5.3,127.4,67.4,False
0.19,571,13.1,63.3,66,51.7,4.7,113.3,67.7,False
0.29,649,14.3,78.7,43,54.2,5.6,134.3,74.5,False
0.29,749,14.1,76.5,45,53.7,4.6,109.5,72.9,False
0.31,748,13.9,77.9,43,53.4,5.4,129.2,74.6,False
0.28,738,18.8,77.7,58,61.7,4.6,110,72.1,False
0.28,742,14.6,74.2,51,54.8,3.7,88.2,73.4,False
0.28,609,15.3,78,47,56,6.4,153.9,76.1,False
0.29,768,12.7,76.2,41,51,3.6,86.4,72.8,False
0.29,757,14.3,78.2,43,54.2,3.7,88.4,75.1,False
0.33,773,10.7,73.6,38,46.3,7.4,176.9,74.2,False
0.22,552,11.1,75.8,37,47.4,4.3,104,72.5,False
0.26,748,11.6,63,59,48.5,6.3,151.4,71.8,False
0.21,574,14.1,70.1,56,53.7,6,143.4,72.4,False
0.31,765,11,72,41,46.9,6.4,154.7,72.8,False
0.28,690,11.2,66.4,50,47.4,8.5,204.7,72.4,False
0.27,762,12.1,66.8,54,49.6,6.1,147.5,70.8,False
0.29,777,12,72.7,44,49.4,5,119.1,73.1,False
0.32,777,13.4,77.4,42,52.4,5.2,124.9,74.8,False
0.3,775,15,76.1,49,55.3,4.5,108.3,75.7,False
0.04,123,8.3,55.6,55,39.6,2.9,68.6,52.1,False
0.27,771,12.9,66.9,57,51.2,5,119.5,74.1,False
0.27,773,13.1,65.2,62,51.8,5.9,141.7,73.1,False
0.25,756,12.6,66.1,57,50.6,5.8,139.5,73.3,False
0.17,446,7.9,70.9,31,38.5,3.5,84.6,66.4,False
0.31,794,11.8,71,46,49,5.5,132.3,74.1,False
0.3,794,13,71.9,49,51.5,4.8,114.8,73.6,False
0.23,568,12.5,70.6,49,50.4,6.2,148.9,71.6,False
0.23,541,10.2,73.1,37,45.1,5.7,136.5,68.5,False
0.1,324,8.1,58.7,48,39,2.8,68,58.1,False
0.28,770,12.8,69.6,52,51,4.5,108,74.1,False
0.26,736,16.2,69.6,66,57.6,5.8,139.2,70.1,False
0.34,767,14,82.9,36,53.6,5.8,139.6,76.1,False
0.31,755,16.1,75.5,54,57.4,6.4,154.6,76.3,False
0.26,654,16.1,70.5,63,57.4,4.9,118.1,74.2,False
0.28,758,15.2,69.5,62,55.9,5,120.6,73.8,False
0.26,769,14.2,65.8,66,54,6,143.2,73,False
0.21,536,10.3,71.3,39,45.2,5.3,128.1,68.1,False
0.33,741,11.8,78.6,35,48.9,5.9,142.2,74.9,False
0.3,761,14.4,76.3,47,54.4,5.2,123.6,75.1,False
0.3,714,15.9,75.8,52,57.1,6.7,160.6,75.3,False
0.28,610,15.6,79.5,45,56.5,6.1,147.5,76,False
0.32,722,14.6,80.5,41,54.8,6.3,150,76.7,False
0.28,731,17.8,77.8,55,60.1,4.4,105.3,75.8,False
0.3,722,14.8,79.8,42,55,5.1,121.6,73.7,False
0.28,696,17.8,74.5,61,60.2,6.4,153.6,75.3,False
0.3,674,14.1,78,43,53.7,6.5,156.9,76.2,False
0.29,707,15.7,78.2,48,56.6,5.4,129.7,76.7,False
0.3,718,16.9,79.5,49,58.8,5.1,122.4,77.1,False
0.32,728,15.8,80.3,45,56.8,5.6,135.5,76.6,False
0.35,730,13.6,82,36,52.7,6.4,152.5,76.4,False
0.28,708,15.9,74.9,54,57,6.3,150.8,73.8,False
0.28,698,17.3,76.8,55,59.4,5.3,127.8,75,False
0.25,672,17.2,75.8,56,59.2,3.3,80.1,76.5,False
0.27,672,15.6,76.5,50,56.5,4.3,102.1,75.3,False
0.27,714,13.7,75.5,45,52.9,4.3,103.2,75,False
0.27,713,13.3,75,45,52.1,4.2,101.6,74.8,False
0.23,592,14.6,72.8,53,54.7,4.5,107.9,74.3,False
0.19,392,8.8,68.5,37,41.1,6.3,150.3,63.3,False
0.27,663,12.2,74.4,42,49.7,5,120.9,73.4,False
0.29,636,10.9,77.4,34,46.7,5.1,123.1,72.5,False
0.23,568,13.9,74.2,48,53.4,3.1,75.4,72.9,False
0.25,625,15.6,74.6,53,56.6,4,96.4,73.2,False
0.27,660,15.3,78,47,56,4.3,103.9,74,False
0.32,661,13.6,79.9,39,52.7,6.4,153.2,73.9,False
0.2,374,8.1,73.4,29,39.1,7,167.7,64.2,False
0.27,659,12.9,77.1,41,51.4,4.6,110.9,74.5,False
0.26,659,14.1,73.9,49,53.6,4.7,113.6,73.2,False
0.24,656,14.8,70.1,59,55.1,4.2,99.8,72.8,False
0.18,462,8.5,70.8,33,40.3,4,97.2,65.9,False
0.26,647,14.8,74.3,51,55,4.9,117.6,73.2,False
0.28,656,11.8,77,37,49,5.6,134.4,73.2,False
0.24,653,14.9,70,60,55.3,4.6,109.3,74.2,False
0.25,681,16,73.9,56,57.2,3.9,92.9,73,False
0.24,653,14.3,71,55,54.1,4.6,110.5,72,False
0.26,704,13,69.8,52,51.6,4,97.1,72.8,False
0.23,615,14.8,68.6,62,55.1,5.8,140.1,70.6,False
0.23,601,13.8,67.9,59,53.1,5.6,133.5,70.3,False
0.21,588,13.9,66.3,63,53.4,4.3,102.5,69.7,False
0.22,582,13.1,68.7,55,51.8,4.7,113.6,69.7,False
0.24,657,11.9,67.2,52,49.1,5,119.2,69.3,False
0.22,616,14.7,67.1,65,54.9,5.3,127.6,69.1,False
0.22,618,14.3,67,63,54.1,5.9,141.7,69.2,False
0.29,692,15.8,78.7,47,56.9,4.9,118.3,74.8,False
0.22,589,13.8,67.5,60,53.2,6.2,149.9,69.3,False
0.23,606,14,70.1,56,53.6,4.6,111.2,69.6,False
0.27,689,12.1,66.7,54,49.5,6.8,162,69.2,False
0.24,590,14,74.8,47,53.5,4.8,114.2,71.1,False
0.29,758,14.9,70.9,58,55.3,5.5,131.8,72.9,False
0.22,587,14.4,70.9,56,54.4,4.7,113.8,69.8,False
0.22,589,14.6,69.2,60,54.8,6.7,159.9,69.8,False
0.08,259,5.9,50.9,47,31.3,4.1,98.2,46.1,False
0.24,601,13.5,74.7,46,52.6,5,120.4,70.4,False
0.26,608,10.4,75.3,35,45.7,5.3,128,70.4,False
0.18,393,8.7,68.8,36,40.9,5.9,141.1,63.5,False
0.29,711,14.8,77.8,45,55.1,4.7,112.1,74.4,False
0.22,589,9.2,73.1,33,42.2,4.4,105.9,68.7,False
0.29,713,15.6,79.1,46,56.5,4.7,113.2,74.3,False
0.22,543,16.4,72.4,60,57.9,7.4,176.7,72.8,False
0.28,749,15,72.7,55,55.4,5.7,136.6,68.6,False
0.28,667,12.9,80.1,37,51.3,4.8,116.3,74.4,False
0.21,573,10.9,66.1,50,46.9,6.5,155.7,66.5,False
0.29,590,10.7,81.5,29,46.4,5.9,141.6,76,False
0.19,561,11.5,64.4,56,48.1,4.7,112,65.2,False
0.21,544,11.1,69.2,46,47.4,5.1,122.2,65.7,False
0.22,545,8,74.8,27,38.7,4.4,105.9,66.7,False
0.22,531,8.7,73.1,31,41,4.7,113.8,66.6,False
0.21,522,10.1,71.1,39,44.7,4.5,107.1,67.1,False
0.24,462,3.6,63.9,18,19.4,9.8,234.4,63.7,False
0.19,470,11.2,72.8,41,47.5,4.4,105.5,69,False
0.17,444,8.3,59.3,48,39.8,7.3,175,66.7,False
0.19,486,10.1,73.6,36,44.9,3.6,85.3,66.6,False
0.19,472,12.2,72.5,45,49.9,4.3,104.2,67.3,False
0.18,466,12.8,66.1,58,51.1,6.4,153.8,66.8,False
0.13,370,13.8,65.7,64,53.2,6.1,147,66.6,False
0.15,412,14.4,68.1,61,54.3,3.8,90.3,67.3,False
0.13,331,13.3,69.2,54,52.1,4,94.9,67.6,False
0.29,754,14.4,77.8,44,54.3,4.3,102.1,74.4,False
0.14,430,15.7,66,72,56.7,5.3,126.3,68.1,False
0.16,445,12.7,65.3,59,50.9,5.2,123.9,65.9,False
0.22,457,10.9,70,43,46.8,8.9,214.4,65.8,False
0.31,479,7.3,71.3,28,36.4,14.7,353.3,64.7,False
0.3,749,18.1,78.8,54,60.7,5.3,126.4,73.9,False
0.26,618,13.9,78,42,53.4,4.5,106.8,75.2,False
0.31,672,13.2,83.9,33,51.8,5.7,137.4,75.1,False
0.14,433,11.5,63.4,58,48.3,4.2,100.2,63.9,False
0.19,443,8.2,68.8,34,39.3,5.5,132.5,63.5,False
0.18,449,8,67.1,35,38.8,5.1,123.1,63.3,False
0.27,682,14.9,75.1,50,55.3,3.7,87.8,73.1,False
0.2,455,3.7,66.3,17,20.1,6.6,159.1,61.7,False
0.17,442,5.1,64.1,25,27.8,4.3,102.6,60.2,False
0.3,614,13,81.9,35,51.6,5.8,140.1,76.3,False
0.27,726,14.7,71.5,56,54.9,5.5,132.7,73.1,False
0.14,415,8.4,65,40,39.9,3.5,85,61,False
0.13,408,8.5,64.7,41,40.4,2.9,70.3,61.7,False
0.14,403,10.8,61.6,58,46.7,5.3,126.8,60.7,False
0.05,98,10.9,59,64,46.8,4.4,106.5,54,False
0.29,741,15.7,75.8,52,56.8,4.9,118.5,73.2,False
0.3,659,14.1,83.2,36,53.6,5.3,128.3,76.7,False
0.13,384,11.1,65,53,47.3,3.7,89.5,60.7,False
0.12,358,11.1,65.6,52,47.3,2.8,68.3,61.4,False
0.12,370,12.7,66.9,57,51,3.7,88.2,62.2,False
0.28,695,16.2,76.6,52,57.6,5.7,137.9,74.4,False
0.13,306,8.1,62.1,42,39,6.9,164.9,60.5,False
0.19,376,6.2,65.5,29,32.5,9.1,218.2,58.2,False
0.16,347,5.8,64.6,28,30.8,5.6,134.4,58,False
0.12,260,5.9,54.1,41,31,8.6,205.3,48.5,False
0.13,355,10.2,63.9,51,45.2,4.4,105.7,59.8,False
0.15,317,6.9,68.2,29,35.1,4.4,106,59.6,False
0.11,342,7.8,64.9,37,38,3.2,77,59.9,False
0.3,707,15.6,84.8,38,56.6,3.6,85.7,74,False
0.16,433,5.9,61.2,32,31.1,3.9,94.2,62.5,False
0.14,344,4.5,59.1,26,24.4,5.8,139.4,55.2,False
0.25,558,13.6,77.9,42,52.8,5.4,128.6,74.9,False
0.18,477,15.3,67.8,66,56,8.6,205.3,71.6,False
0.08,212,4,46.7,36,21.5,3.4,80.4,50.2,False
0.22,563,12.7,72.4,47,50.9,5.3,126.3,71.8,False
0.28,619,16.6,79.4,48,58.2,6,144.2,76.5,False
0.37,778,7.2,74.3,25,36.2,10.6,254.1,67.4,False
0.08,244,4.2,47.8,37,22.9,2.9,70,48.8,False
0.07,224,5.2,45.6,50,28.1,2.7,65.9,48.4,False
0.07,213,4.7,47.3,42,25.5,2.4,58.6,48.2,False
0.07,228,5.6,47.1,51,29.8,3.1,74.4,48.1,False
0.07,252,6,47.4,54,31.7,2.7,64.1,48.3,False
0.07,220,5.8,48.9,49,30.6,2.9,69.7,48.4,False
0.07,240,6.3,49.2,53,32.7,2.6,62.8,48.6,False
0.05,227,15.7,58.8,93,56.6,4.9,117.1,57.1,False
0.3,724,14.4,75.9,47,54.2,6.1,146.6,74.1,False
0.05,214,12.7,54,89,50.9,2.8,67.3,54.4,False
0.26,747,13.4,66.3,61,52.3,5.4,129.4,70.7,False
0.06,275,8.6,47.8,76,40.6,3.9,92.5,51,False
0.17,503,7.5,59.4,43,37.2,5.4,130.7,64.2,False
0.07,270,9.7,52.7,72,43.9,5.3,127.7,52.4,False
0.06,259,9.2,49,78,42.3,2.9,69.4,50.6,False
0.02,119,10.8,46.5,100,46.6,3.4,81.9,50.5,False
0,33,11,47.2,100,47.2,2.8,66.4,51.7,False
0.26,578,13.6,77.6,42,52.8,5.4,130.8,76.3,False
0.06,268,9.1,49.5,75,42.1,4,97.1,49.9,False
0.06,221,9.4,49.4,78,42.9,4.9,117,49.9,False
0.04,208,9.4,45.2,92,43,3,71.9,48.8,False
0.09,259,6.5,54.2,45,33.4,5.7,135.8,52.6,False
0.09,261,5.2,52.8,38,28,4.6,111.3,47.1,False
0.05,251,11.2,51.7,86,47.6,2.4,57.7,51.3,False
0.02,123,12.6,51.2,98,50.6,3.3,79.9,52,False
0.05,211,8.7,49.6,72,41,4.3,103.1,51.1,False
0.04,162,10.7,49.5,88,46.2,3.6,87.1,51.2,False
0.06,258,8.1,49.9,66,39,3.3,80.2,49.9,False
0.12,274,6.9,48.9,58,34.9,12.5,299.2,48.2,False
0.1,274,5.1,48.7,44,27.7,10.7,257.4,46.9,False
0.06,254,6.2,45.8,59,32.3,3.6,86.5,46.3,False
0.05,261,8.1,45.3,79,39.2,3.5,83.6,46.4,False
0.19,377,4.9,72.1,18,26.4,5.2,124.2,64.1,False
0.09,279,4.1,44.6,41,22.2,7.9,190.1,44.7,False
0.11,347,4.9,55.6,32,26.4,2.7,65.9,56.3,False
0.33,745,14.8,84.5,37,55.1,5.4,129.6,75.2,False
0.05,244,7.4,41.4,84,36.9,2.4,57.4,44.1,False
0.03,176,13.1,52.8,96,51.8,4.7,113.4,49.5,False
0,44,12.8,51.2,100,51.1,3.9,94.5,50.5,False
0.01,107,11.5,48.2,100,48.3,2.6,61.8,51.2,False
0.29,753,15.2,75.3,51,55.8,3.9,94.1,73.2,False
0.25,603,13.8,76,45,53.2,4.7,113.5,75,False
0.05,198,13.1,54.6,90,51.8,2.7,64.3,53.5,False
0.21,511,13,81.5,35,51.5,4.1,97.9,72.6,False
0.09,311,6.9,49.9,56,34.9,6.9,166.3,50,False
0.26,757,13.8,66.5,62,53.2,4,95.2,71.8,False
0.29,764,12,70.3,47,49.4,4.7,112.3,70.8,False
0.07,323,9.2,50.1,75,42.4,2.8,67.9,49.2,False
0.05,220,10.1,47.6,90,44.9,2.6,62.2,49.3,False
0.07,294,10.5,53.4,75,45.8,2.9,70.4,50.9,False
0.04,183,12.1,52.5,90,49.6,2.6,63.5,51.9,False
0.26,607,13.6,73,49,52.8,6.9,166.7,72.6,False
0.26,631,15.7,76.1,51,56.6,4.6,111.5,74.1,False
0.07,319,7.2,42.8,77,36,5.4,129.4,48.9,False
0.07,368,7.5,43.2,79,37.2,3,73,48,False
0.06,314,7.9,42.5,85,38.4,2.7,65.9,47.5,False
0.06,281,7.6,42.9,81,37.5,3.1,75.5,47.1,False
0.13,432,5.5,46.2,52,29.5,9.2,220.7,46.9,False
0.1,431,5.9,46.7,54,31,4.9,116.9,46.7,False
0.15,441,6.4,47,58,33.2,11.3,270.1,47.2,False
0.13,452,4.3,46.6,39,23.2,7.4,177,46.5,False
0.08,329,6.6,45.6,64,34,2.8,66.7,46.9,False
0.08,318,9.9,51.2,77,44.4,3.7,88.9,50.2,False
0.27,587,13.9,78.7,41,53.3,5.6,135.1,75.8,False
0.28,735,17.4,74.7,59,59.5,4.3,104.2,72.9,False
0.11,332,6.3,58.6,37,32.7,2.5,60,57.5,False
0.04,218,12,53.3,87,49.4,2.3,56.1,53.9,False
0.13,431,7.2,49.2,60,36.1,9.2,221,51.7,False
0.16,523,8.5,53.9,60,40.3,7,167.8,52,False
0.18,483,7.7,55,52,37.8,10.6,253.9,51.9,False
0.22,546,5.1,53.9,36,27.6,12.2,292.4,51.2,False
0.17,543,5.8,53.5,42,30.9,6.7,160.6,51.2,False
0.15,531,7.7,54.1,54,37.8,3.7,89.6,52.2,False
0.11,286,9.8,61.6,53,44.1,4.5,107.8,62.4,False
0.14,478,10.8,58.1,65,46.6,3.2,77.3,55.1,False
0.28,685,13.7,74.6,47,53,5.3,126.3,74.6,False
0.16,552,9.7,54.4,67,43.7,4.6,111.5,55.9,False
0.11,403,11.1,52.3,83,47.4,3.2,77,55.9,False
0.13,416,11.5,53.5,82,48.2,5.7,136,56.4,False
0.17,584,10.5,54.8,71,45.7,5.7,137.4,55.9,False
0.19,594,10.3,58,63,45.4,5.7,137.6,56.6,False
0.19,560,10.2,60.9,56,45.1,4.7,112.6,57.1,False
0.07,274,13.9,58,85,53.4,3.1,73.9,59.2,False
0.1,350,13.2,59.1,77,52,4.9,117.9,59.6,False
0.14,442,14.4,60.3,81,54.4,4.2,99.8,60,False
0.18,557,15.2,64.2,74,55.8,4.6,109.2,61.5,False
0.13,387,16.2,65.2,76,57.6,5.5,131.4,62.5,False
0.23,631,10.1,60.8,56,44.9,11.9,286,61.3,False
0.27,652,8.1,62.4,42,39,11.1,266.5,59.5,False
0.19,422,9,61.6,48,41.7,11.1,265.9,59.3,False
0.24,649,9,62.6,47,41.9,8.5,202.8,59.4,False
0.21,609,11,63.8,55,47.2,4.3,102.3,60.1,False
0.28,765,10.7,70.5,42,46.3,4.3,103.1,70.2,False
0.08,247,9.3,56,61,42.6,6,144.5,59.7,False
0.17,549,11.7,59.1,68,48.7,6.9,164.7,59.9,False
0.17,490,8.4,58.9,50,40.1,5.8,139.1,65.4,False
0.21,654,13.8,67.5,60,53.1,3.4,80.9,62.1,False
0.23,580,13.9,69.2,57,53.4,5.6,133.8,63.4,False
0.22,613,11.6,59.7,66,48.5,10.3,247.6,63.2,False
0.09,286,11,57.8,67,47.1,3.6,87.1,57.6,False
0.11,324,8.5,58.4,51,40.3,3.5,82.9,57.6,False
0.27,675,11.6,74.9,39,48.5,5.9,140.5,64.9,False
0.31,748,14.3,77.3,45,54.2,4.6,111.6,72.9,False
0.26,678,13.6,72.5,50,52.7,4.6,110.2,67.4,False
0.25,670,13.2,69,54,51.9,4.4,105.4,66.2,False
0.28,731,16.5,73.7,58,58.1,4.8,115.8,72.5,False
0.22,676,12.4,62.8,64,50.2,4.7,112,65.4,False
0.04,85,7.3,52.5,54,36.3,2.4,57.4,50.5,False
0.23,673,10.8,62.1,57,46.7,5.4,129.3,65.1,False
0.3,724,9.6,77.3,30,43.5,4.6,110.8,69,False
0.27,711,7.8,66.2,36,38.2,5.4,129.3,64.3,False
0.2,482,6.6,65.5,31,33.8,5.4,129.2,63.3,False
0.26,715,8.9,62.6,46,41.6,5.1,123.5,63.8,False
0.24,658,9.8,59.3,57,44,8,193.1,62.7,False
0.22,647,11.5,60.2,64,48.1,7.6,182.9,62.9,False
0.23,688,12.6,62.9,64,50.8,5.3,127.6,63.9,False
0.24,687,14.1,66.1,65,53.8,6.1,146.1,65.3,False
0.3,614,14.9,81.6,40,55.3,6,144.2,76.4,False
0.25,702,12.8,67.9,55,51.1,5.9,140.5,66,False
0.24,711,13.7,65.6,63,52.9,4.4,105.8,66.4,False
0.26,712,11.9,67,53,49.2,5.3,126.9,66.6,False
0.15,431,6.6,61.9,35,34,3,72,62.5,False
0.18,476,12.4,62.7,64,50.3,7.3,174.6,64.3,False
0.18,530,10.5,59,62,45.8,7.3,174.2,61.6,False
0.17,560,11.9,57.2,75,49.2,5.3,127.1,60.4,False
0.23,727,14.6,65.2,69,54.7,4.1,98.1,66.1,False
0.25,753,12.2,62.8,63,49.9,7.5,181.1,65.8,False
0.16,490,12.6,59.8,71,50.6,5.6,135,62.3,False
0.26,735,13.7,66.4,62,53,5.4,130.2,64.2,False
0.18,411,10.3,64.4,50,45.4,9.6,231.3,63.6,False
0.01,77,10,48.5,86,44.5,3.1,74.7,48.6,True
0.05,143,7.8,49,66,38.1,7.4,176.5,51.2,True
0.13,429,12,55.9,78,49.3,4.6,109.6,57,True
0,33,13.5,52.5,100,52.5,4.6,111.2,51.6,True
0.21,586,12,58.3,72,49.3,11.3,270.7,60.2,True
0.07,191,7.2,51.8,55,36,5,120.3,49.5,True
0.01,64,12.9,51.5,100,51.4,3.5,84,52.4,True
0.01,70,13.6,53.3,98,52.8,5.9,140.5,54.3,True
0.01,58,11.2,49.4,93,47.4,6.8,162.5,50.7,True
