@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-R4-5,7-8'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.24,650,11.7,66.8,52,48.8,4.4,104.5,66.4,False
0.2,467,10.8,66.6,48,46.5,5.8,138.2,66.6,False
0.22,618,10.6,63.7,53,46.1,5.9,142.3,66.7,False
0.28,696,10.8,69.5,44,46.6,6,144.5,67.7,False
0.27,686,11.7,70.2,46,48.6,5.2,124.7,68.9,False
0.28,715,11,67.8,47,47.1,7.8,187.1,69.1,False
0.26,687,11.6,67.9,50,48.4,6,144.4,69.2,False
0.36,718,8.4,70.6,33,39.9,11.7,280.6,67.9,False
0.32,715,8.5,70.7,33,40.2,8.7,208.5,68.6,False
0.25,715,11.8,62.6,61,49,6.8,164,68.4,False
0.22,666,11.1,65.6,52,47.4,9.6,229.5,71.7,False
0.25,723,10.9,61.9,58,46.8,8.1,193.7,68.4,False
0.23,659,10.2,61.9,54,45.1,6.5,156.7,68.3,False
0.25,717,11.9,64.3,58,49.2,5.4,128.7,69,False
0.24,719,13.1,65.6,61,51.7,4.5,108.9,70.2,False
0.26,736,11.2,62.9,57,47.5,7,168.4,69.8,False
0.22,678,11,60,62,47,6.6,158.5,68.8,False
0.25,717,12.2,65,58,49.8,4.6,111.1,69.4,False
0.24,727,12.7,63.1,64,50.8,5,119.9,70.4,False
0.23,718,12.3,61.1,67,49.9,5.9,141.6,69.7,False
0.22,619,11.6,61,63,48.5,8.1,194.7,69.1,False
0.1,309,11.6,59.8,66,48.5,5.3,127.4,67.4,False
0.19,571,13.1,63.3,66,51.7,4.7,113.3,67.7,False
0.28,745,13.2,71.1,51,51.9,5,121.2,70.3,False
0.29,749,14.1,76.5,45,53.7,4.6,109.5,72.9,False
0.31,748,13.9,77.9,43,53.4,5.4,129.2,74.6,False
0.29,748,9.9,61.5,53,44.4,11.1,266.2,70.8,False
0.26,749,10.2,59.3,59,45,10.1,243.2,68.7,False
0.27,762,11.7,67.4,51,48.7,5,119.3,70,False
0.29,768,12.7,76.2,41,51,3.6,86.4,72.8,False
0.29,757,14.3,78.2,43,54.2,3.7,88.4,75.1,False
0.33,773,10.7,73.6,38,46.3,7.4,176.9,74.2,False
0.27,787,9.8,67.8,42,43.9,4.7,112.6,73.2,False
0.26,748,11.6,63,59,48.5,6.3,151.4,71.8,False
0.26,759,12.1,65.8,56,49.5,4.5,108,72.2,False
0.31,765,11,72,41,46.9,6.4,154.7,72.8,False
0.28,690,11.2,66.4,50,47.4,8.5,204.7,72.4,False
0.29,774,8.6,66.8,38,40.6,6.6,159.3,71.4,False
0.29,777,12,72.7,44,49.4,5,119.1,73.1,False
0.32,777,13.4,77.4,42,52.4,5.2,124.9,74.8,False
0.3,775,15,76.1,49,55.3,4.5,108.3,75.7,False
0.28,777,13.1,72.4,48,51.7,4.6,110.2,75.6,False
0.27,771,12.9,66.9,57,51.2,5,119.5,74.1,False
0.27,773,13.1,65.2,62,51.8,5.9,141.7,73.1,False
0.25,756,12.6,66.1,57,50.6,5.8,139.5,73.3,False
0.28,751,13.8,70.1,55,53.2,5.1,122.4,72.9,True
0.29,762,14.9,73,54,55.2,4.7,112.3,74,False
0.31,794,11.8,71,46,49,5.5,132.3,74.1,False
0.3,794,13,71.9,49,51.5,4.8,114.8,73.6,False
0.31,787,14.4,78,44,54.4,4.2,100.8,74.8,True
0.35,776,13.5,83.6,34,52.6,6,145,76.6,False
0.32,762,15.7,75.1,53,56.6,8.1,195.3,76,False
0.26,762,15.6,69.5,63,56.5,3.6,86.5,75.1,True
0.3,798,12.4,71.8,47,50.2,4.7,113.1,74.1,True
0.28,786,13.5,68.9,56,52.6,4.6,111.2,74,False
0.28,770,12.8,69.6,52,51,4.5,108,74.1,False
0.32,765,13.6,76.3,44,52.7,5.4,130.7,74.2,False
0.34,767,14,82.9,36,53.6,5.8,139.6,76.1,False
0.31,755,16.1,75.5,54,57.4,6.4,154.6,76.3,False
0.26,654,16.1,70.5,63,57.4,4.9,118.1,74.2,False
0.28,758,15.2,69.5,62,55.9,5,120.6,73.8,False
0.26,769,14.2,65.8,66,54,6,143.2,73,False
0.28,777,14.3,71.2,55,54.1,5.2,124.5,73.1,False
0.28,604,13.4,77.7,41,52.3,5.8,139.5,74.6,True
0.33,741,11.8,78.6,35,48.9,5.9,142.2,74.9,False
0.31,773,11,76.6,35,47.1,4.2,101.2,75.1,True
0.35,770,9.9,79.9,28,44.2,6.2,147.9,74,True
0.33,767,12,79.4,35,49.4,6,144.1,74.8,True
0.3,761,14.4,76.3,47,54.4,5.2,123.6,75.1,False
0.3,714,15.9,75.8,52,57.1,6.7,160.6,75.3,False
0.28,610,15.6,79.5,45,56.5,6.1,147.5,76,False
0.32,722,14.6,80.5,41,54.8,6.3,150,76.7,False
0.29,752,14.6,75.7,48,54.8,4.5,107.2,76.9,True
0.29,753,14.8,76.1,48,55.1,4.7,113,75.5,True
0.29,771,15,76.7,48,55.5,4.2,100.7,75.2,True
0.28,731,17.8,77.8,55,60.1,4.4,105.3,75.8,False
0.28,733,16.5,76.4,53,58.1,4.9,117.7,76.2,False
0.28,696,17.8,74.5,61,60.2,6.4,153.6,75.3,False
0.3,674,14.1,78,43,53.7,6.5,156.9,76.2,False
0.29,707,15.7,78.2,48,56.6,5.4,129.7,76.7,False
0.3,718,16.9,79.5,49,58.8,5.1,122.4,77.1,False
0.32,728,15.8,80.3,45,56.8,5.6,135.5,76.6,False
0.35,730,13.6,82,36,52.7,6.4,152.5,76.4,False
0.28,711,16.3,79.9,47,57.8,3.7,89.4,77.2,False
0.28,727,15.7,76.6,50,56.7,3.9,93.4,76.6,False
0.25,672,17.2,75.8,56,59.2,3.3,80.1,76.5,False
0.22,594,15.5,75.2,52,56.3,3.2,77.8,75.8,True
0.25,633,16,76.7,51,57.2,3.4,82.3,75.5,True
0.27,672,15.6,76.5,50,56.5,4.3,102.1,75.3,False
0.27,714,13.7,75.5,45,52.9,4.3,103.2,75,False
0.27,713,13.3,75,45,52.1,4.2,101.6,74.8,False
0.26,663,14,74.7,47,53.5,4.2,100.8,73.6,False
0.33,682,10.7,79.4,31,46.3,6.9,164.6,73.5,False
0.27,663,12.2,74.4,42,49.7,5,120.9,73.4,False
0.29,636,10.9,77.4,34,46.7,5.1,123.1,72.5,False
0.23,568,13.9,74.2,48,53.4,3.1,75.4,72.9,False
0.25,625,15.6,74.6,53,56.6,4,96.4,73.2,False
0.27,660,15.3,78,47,56,4.3,103.9,74,False
0.32,661,13.6,79.9,39,52.7,6.4,153.2,73.9,False
0.29,665,11.8,80.9,33,48.9,4.7,113.1,75.1,False
0.27,659,12.9,77.1,41,51.4,4.6,110.9,74.5,False
0.26,659,14.1,73.9,49,53.6,4.7,113.6,73.2,False
0.24,656,14.8,70.1,59,55.1,4.2,99.8,72.8,False
0.24,655,14.8,70.6,58,55.1,4,96.6,72.5,False
0.26,647,14.8,74.3,51,55,4.9,117.6,73.2,False
0.28,656,11.8,77,37,49,5.6,134.4,73.2,False
0.3,664,11.3,76.9,36,47.7,5.4,129.4,72.6,False
0.26,659,13.5,74.2,47,52.5,4.5,106.8,72.6,False
0.24,653,14.3,71,55,54.1,4.6,110.5,72,False
0.22,618,14.5,66.1,66,54.6,5.2,125.8,71,False
0.23,615,14.8,68.6,62,55.1,5.8,140.1,70.6,False
0.23,601,13.8,67.9,59,53.1,5.6,133.5,70.3,False
0.21,588,13.9,66.3,63,53.4,4.3,102.5,69.7,False
0.22,582,13.1,68.7,55,51.8,4.7,113.6,69.7,False
0.24,657,11.9,67.2,52,49.1,5,119.2,69.3,False
0.22,616,14.7,67.1,65,54.9,5.3,127.6,69.1,False
0.22,618,14.3,67,63,54.1,5.9,141.7,69.2,False
0.24,622,13.5,67.9,58,52.6,7.8,187.7,69.1,False
0.22,589,13.8,67.5,60,53.2,6.2,149.9,69.3,False
0.23,606,14,70.1,56,53.6,4.6,111.2,69.6,False
0.23,586,13,74,45,51.5,4.3,102.8,70.8,False
0.24,590,14,74.8,47,53.5,4.8,114.2,71.1,False
0.23,582,13.9,71.3,53,53.4,4.6,110.4,70.2,False
0.22,587,14.4,70.9,56,54.4,4.7,113.8,69.8,False
0.22,589,14.6,69.2,60,54.8,6.7,159.9,69.8,False
0.21,593,13.9,69.9,56,53.4,4.3,102.2,69.6,False
0.24,601,13.5,74.7,46,52.6,5,120.4,70.4,False
0.26,608,10.4,75.3,35,45.7,5.3,128,70.4,False
0.23,595,11.2,72.1,42,47.5,4.4,106.4,69.5,False
0.23,593,11.5,72.4,42,48.1,5,118.9,68.7,False
0.22,589,9.2,73.1,33,42.2,4.4,105.9,68.7,False
0.23,501,10,68.5,42,44.4,8,193.2,68.1,False
0.2,570,11.3,67.6,49,47.8,6.3,151.3,68.8,False
0.21,554,10.3,66.8,46,45.3,5.9,140.8,67.7,False
0.21,576,10.3,65.6,48,45.4,7,168,67.4,False
0.21,573,10.9,66.1,50,46.9,6.5,155.7,66.5,False
0.19,559,11.6,65.1,55,48.5,5.3,126.4,66,False
0.19,561,11.5,64.4,56,48.1,4.7,112,65.2,False
0.21,544,11.1,69.2,46,47.4,5.1,122.2,65.7,False
0.22,545,8,74.8,27,38.7,4.4,105.9,66.7,False
0.22,531,8.7,73.1,31,41,4.7,113.8,66.6,False
0.21,522,10.1,71.1,39,44.7,4.5,107.1,67.1,False
0.21,531,10.1,70.5,40,44.8,4.6,111.3,67,False
0.21,526,8.7,71.5,33,40.8,4.9,118.6,65.6,False
0.21,513,9.2,72.4,34,42.3,5,119.2,65.5,False
0.19,486,10.1,73.6,36,44.9,3.6,85.3,66.6,False
0.19,472,12.2,72.5,45,49.9,4.3,104.2,67.3,False
0.18,466,12.8,66.1,58,51.1,6.4,153.8,66.8,False
0.13,370,13.8,65.7,64,53.2,6.1,147,66.6,False
0.15,412,14.4,68.1,61,54.3,3.8,90.3,67.3,False
0.13,331,13.3,69.2,54,52.1,4,94.9,67.6,False
0.17,417,16.1,73.5,57,57.3,5.8,140.1,69,False
0.1,270,18.2,69.6,74,60.8,4.4,105.7,69,True
0.14,430,15.7,66,72,56.7,5.3,126.3,68.1,False
0.16,445,12.7,65.3,59,50.9,5.2,123.9,65.9,False
0.22,457,10.9,70,43,46.8,8.9,214.4,65.8,False
0.31,479,7.3,71.3,28,36.4,14.7,353.3,64.7,False
0.22,465,7.4,70.4,29,36.8,6.9,164.4,64.3,False
0.18,453,10.9,68,47,46.9,6.2,149.3,64.4,False
0.15,445,11.7,62.5,60,48.6,5.5,133.1,63.9,False
0.14,433,11.5,63.4,58,48.3,4.2,100.2,63.9,False
0.19,443,8.2,68.8,34,39.3,5.5,132.5,63.5,False
0.18,449,8,67.1,35,38.8,5.1,123.1,63.3,False
0.22,449,6.5,66.1,30,33.5,8.7,207.7,62.2,False
0.2,455,3.7,66.3,17,20.1,6.6,159.1,61.7,False
0.17,442,5.1,64.1,25,27.8,4.3,102.6,60.2,False
0.14,421,7.9,61.9,42,38.5,3.1,74.8,60.5,False
0.13,416,8.5,62.9,44,40.4,3.2,76.8,60.8,False
0.14,415,8.4,65,40,39.9,3.5,85,61,False
0.13,408,8.5,64.7,41,40.4,2.9,70.3,61.7,False
0.14,403,10.8,61.6,58,46.7,5.3,126.8,60.7,False
0.12,400,10.9,60.4,61,46.7,4,97,60.1,False
0.11,354,10.3,57.2,64,45.3,4.6,111.4,58.8,False
0.12,376,10.7,61.9,56,46.2,3.9,93,59.2,False
0.13,384,11.1,65,53,47.3,3.7,89.5,60.7,False
0.12,358,11.1,65.6,52,47.3,2.8,68.3,61.4,False
0.12,370,12.7,66.9,57,51,3.7,88.2,62.2,False
0.15,353,13.1,66,60,51.8,7.9,189.4,62.3,False
0.13,306,8.1,62.1,42,39,6.9,164.9,60.5,False
0.19,376,6.2,65.5,29,32.5,9.1,218.2,58.2,False
0.16,347,5.8,64.6,28,30.8,5.6,134.4,58,False
0.13,333,10.2,67.2,45,45.1,4.3,104,60,False
0.13,355,10.2,63.9,51,45.2,4.4,105.7,59.8,False
0.15,317,6.9,68.2,29,35.1,4.4,106,59.6,False
0.11,342,7.8,64.9,37,38,3.2,77,59.9,False
0.14,351,6.9,64.4,34,35.1,5.4,128.9,58.7,False
0.12,356,5.3,60.9,29,28.4,4.2,100.9,56.6,False
0.14,344,4.5,59.1,26,24.4,5.8,139.4,55.2,False
0.21,326,3.3,61,18,17.5,10.9,260.4,54.6,False
0.12,280,3,52.7,22,15,4.5,108.6,52.3,False
0.08,212,4,46.7,36,21.5,3.4,80.4,50.2,False
0.11,300,3.9,51.2,31,21.4,4.5,107.1,49.8,False
0.08,282,4.9,48.6,42,26.4,2.4,58.5,49.8,False
0.06,173,5.3,47.8,47,28.6,2.7,64.2,49.7,False
0.08,244,4.2,47.8,37,22.9,2.9,70,48.8,False
0.07,224,5.2,45.6,50,28.1,2.7,65.9,48.4,False
0.07,213,4.7,47.3,42,25.5,2.4,58.6,48.2,False
0.07,228,5.6,47.1,51,29.8,3.1,74.4,48.1,False
0.07,252,6,47.4,54,31.7,2.7,64.1,48.3,False
0.07,220,5.8,48.9,49,30.6,2.9,69.7,48.4,False
0.07,240,6.3,49.2,53,32.7,2.6,62.8,48.6,False
0.02,89,11.3,50.4,91,47.8,3.5,83.6,50.3,True
0.07,234,12.4,56.8,79,50.3,6.5,155.5,53.6,True
0.01,67,15.4,56.3,100,56.2,7,168,55.2,True
0.05,227,15.7,58.8,93,56.6,4.9,117.1,57.1,False
0.08,289,11.8,56.5,76,48.9,3.7,87.9,55.6,False
0.05,214,12.7,54,89,50.9,2.8,67.3,54.4,False
0.01,86,14,54,98,53.5,3.6,86.3,54.8,True
0.02,118,15.8,57,99,56.9,6.5,156.8,57.2,True
0.02,116,13.9,55.6,92,53.4,8.7,207.8,56.7,True
0.07,260,9.7,54.1,68,43.9,6.7,161.1,54.5,False
0.06,215,10.3,51.8,79,45.4,7.7,186,53.3,True
0.06,275,8.6,47.8,76,40.6,3.9,92.5,51,False
0.05,253,9.1,46.4,85,42.1,4,95.1,50.3,False
0.01,67,10,47.9,88,44.5,3.8,91.6,50.9,True
0.02,118,11.8,50.7,93,48.8,5.5,132.8,51.7,True
0.07,270,9.7,52.7,72,43.9,5.3,127.7,52.4,False
0.06,259,9.2,49,78,42.3,2.9,69.4,50.6,False
0.02,119,10.8,46.5,100,46.6,3.4,81.9,50.5,False
0,33,11,47.2,100,47.2,2.8,66.4,51.7,False
0.03,142,11.2,49.7,92,47.5,3.1,74.4,51.4,False
0.06,268,9.1,49.5,75,42.1,4,97.1,49.9,False
0.06,221,9.4,49.4,78,42.9,4.9,117,49.9,False
0.04,208,9.4,45.2,92,43,3,71.9,48.8,False
0.04,148,11.1,50.6,88,47.2,4.7,112.5,49.6,False
0.03,156,11.5,49.2,96,48.2,2.5,59.8,50.8,False
0,38,12,49.2,100,49.4,4.2,101.6,50,True
0.05,225,12.5,53.6,89,50.5,3.4,82.4,52.3,True
0.05,251,11.2,51.7,86,47.6,2.4,57.7,51.3,False
0.02,123,12.6,51.2,98,50.6,3.3,79.9,52,False
0,41,12.5,50.6,99,50.4,2.8,68.1,52,True
0.01,88,13,51.8,99,51.5,4.2,100.1,52.8,True
0.05,211,8.7,49.6,72,41,4.3,103.1,51.1,False
0.04,162,10.7,49.5,88,46.2,3.6,87.1,51.2,False
0.02,93,12,50.7,95,49.3,6,145,51.5,True
0.08,266,9.6,53.2,70,43.5,10.4,249.7,51.3,True
0.06,258,8.1,49.9,66,39,3.3,80.2,49.9,False
0.12,274,6.9,48.9,58,34.9,12.5,299.2,48.2,False
0.1,274,5.1,48.7,44,27.7,10.7,257.4,46.9,False
0.06,254,6.2,45.8,59,32.3,3.6,86.5,46.3,False
0.05,261,8.1,45.3,79,39.2,3.5,83.6,46.4,False
0.15,276,5.5,47.8,48,29.2,14.8,355.9,46.2,False
0.09,279,4.1,44.6,41,22.2,7.9,190.1,44.7,False
0.05,269,5.3,40.4,63,28.7,2.7,64.3,43.9,False
0.05,242,6.7,40.9,77,34.3,2.9,69.8,43.8,False
0.05,244,7.4,41.4,84,36.9,2.4,57.4,44.1,False
0.02,76,9.7,45.6,93,43.7,7,167.4,44.8,True
0,36,10.9,46.8,100,46.8,11.5,276.5,46.7,True
0.03,176,13.1,52.8,96,51.8,4.7,113.4,49.5,False
0,44,12.8,51.2,100,51.1,3.9,94.5,50.5,False
0.04,183,14.5,56.4,93,54.5,5.8,139.3,52.3,True
0.01,107,11.5,48.2,100,48.3,2.6,61.8,51.2,False
0.02,107,12.9,51.7,99,51.3,5.7,136.2,52.2,True
0.04,204,12.1,50,98,49.5,3.7,88.2,51.7,False
0.03,185,11,47.4,99,47.1,2.9,69.2,50.6,False
0.01,77,11,47.4,98,46.9,4.5,107.3,49.7,True
0,36,12,49.6,99,49.5,9.4,226.5,49.8,True
0,36,14.2,54.4,99,54,10.5,252.7,51.2,True
0.03,117,13.3,56.5,85,52.1,5.9,142.7,53.2,True
0.05,198,13.1,54.6,90,51.8,2.7,64.3,53.5,False
0.05,234,14.9,56.5,95,55.2,2.3,54.8,54.9,True
0.04,167,13.5,54.4,93,52.5,8.8,211.7,54.6,True
0.08,312,9.2,51.6,70,42.2,8.4,200.5,51.8,False
0.09,311,6.9,49.9,56,34.9,6.9,166.3,50,False
0.07,312,8.6,47.1,78,40.7,3.2,76.1,48.8,False
0.08,320,9.3,49.5,77,42.7,3.8,90.8,49.2,False
0.07,323,9.2,50.1,75,42.4,2.8,67.9,49.2,False
0.05,220,10.1,47.6,90,44.9,2.6,62.2,49.3,False
0.07,294,10.5,53.4,75,45.8,2.9,70.4,50.9,False
0.04,183,12.1,52.5,90,49.6,2.6,63.5,51.9,False
0.07,258,12.3,55,84,50.1,2.9,70.2,52.6,False
0.06,272,13.2,52.8,97,51.9,3.1,75.6,52.9,False
0.06,240,14.4,57.2,90,54.4,3.8,91.6,54.8,True
0.02,121,13.4,52.8,98,52.3,6.7,160.5,53.3,True
0.06,179,12.2,55.1,82,49.9,12.8,308.1,53.9,True
0.04,174,12.3,52.5,91,50,10.5,251.7,53.2,True
0.03,169,10.2,47.4,92,45.1,7.7,184.7,51.5,True
0.07,319,7.2,42.8,77,36,5.4,129.4,48.9,False
0.07,368,7.5,43.2,79,37.2,3,73,48,False
0.06,314,7.9,42.5,85,38.4,2.7,65.9,47.5,False
0.03,169,9.6,45.4,93,43.5,3.3,79.5,48.3,True
0.04,203,10.4,47,94,45.5,8.4,201.7,48.9,True
0.09,373,7.9,44.9,78,38.4,7.2,172.6,48.5,True
0.06,281,7.6,42.9,81,37.5,3.1,75.5,47.1,False
0.01,110,8.5,41.5,96,40.3,2.6,62.9,46.4,True
0.02,85,12.6,53.3,91,50.6,12.9,309.7,48.2,True
0.05,234,13.6,55.6,90,52.7,11.5,276.4,52.2,True
0.07,271,9.7,48.1,85,43.8,7.5,180.1,50.5,True
0.09,361,8.9,47.6,79,41.6,9.6,229.7,49.2,True
